tileswide 25
tileshigh 20
tilewidth 32
tileheight 32

layer 0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
21,21,21,21,21,21,21,21,21,21,21,17,13,13,13,13,13,13,13,13,13,13,18,21,21,
21,21,21,21,21,21,21,21,21,21,21,11,8,8,8,8,8,15,9,10,8,8,14,18,21,
21,21,21,21,21,21,21,21,21,21,21,11,8,15,9,9,9,19,21,11,8,8,8,22,21,
21,21,21,21,21,21,21,21,21,21,21,11,8,14,18,21,21,21,21,11,8,8,8,22,21,
21,21,21,21,21,21,17,13,18,17,13,12,8,1,22,21,21,21,21,16,9,9,9,19,21,
21,21,21,21,21,21,11,8,22,11,8,2,8,7,14,13,18,21,21,21,17,13,13,18,21,
21,17,13,13,13,7,12,8,14,12,0,15,9,10,7,2,14,13,18,21,11,8,8,22,21,
21,11,15,9,9,9,10,8,7,0,8,22,21,16,10,4,8,8,22,21,11,8,8,22,21,
21,11,22,21,21,21,16,10,7,0,0,14,13,13,12,8,15,9,19,21,16,9,9,19,21,
21,11,22,21,21,21,21,11,8,5,4,20,1,6,8,15,19,21,21,21,17,13,13,13,18,
21,11,22,21,21,21,21,16,9,10,8,7,0,0,3,14,13,13,13,13,12,20,1,2,22,
21,11,22,21,21,21,21,21,21,11,8,0,0,0,4,8,8,8,8,8,8,7,0,3,22,
21,11,22,21,21,21,21,21,21,16,9,9,9,9,9,9,10,15,9,9,10,6,5,4,22,
17,12,14,13,18,21,21,21,21,21,21,21,21,21,21,21,16,19,21,21,16,9,9,9,19,
11,3,7,0,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
11,3,7,0,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
11,4,6,0,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
16,9,9,9,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,23,23,23,23,23,23,23,23,23,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,23,
-1,-1,-1,-1,-1,-1,23,23,23,23,23,-1,-1,-1,-1,23,23,23,23,-1,-1,-1,-1,-1,23,
-1,-1,-1,-1,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,23,-1,-1,-1,-1,-1,23,
-1,23,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,23,-1,-1,-1,-1,23,
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,23,
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,23,
23,-1,-1,23,23,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,23,
23,-1,-1,23,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,23,23,-1,-1,-1,-1,23,
23,-1,-1,23,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,
23,-1,-1,23,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,
23,-1,-1,23,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,
23,-1,-1,-1,23,-1,-1,-1,-1,23,23,23,23,23,23,23,-1,-1,23,23,-1,-1,-1,-1,23,
23,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,23,-1,-1,23,23,23,23,23,
23,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
23,23,23,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

